Ref,Val,Package,PosX,PosY,Rot,
"C1","100n","C_0805_2012Metric",30,52.45,270,0
"C2","100n","C_0805_2012Metric",11,39,270,0
"C3","100n","C_0805_2012Metric",22.25,48,90,0
"C4","100n","C_0805_2012Metric",5,34.5,0,90
"C5","100n","C_0805_2012Metric",20.25,35,270,0
"C6","100n","C_0805_2012Metric",29.75,47.75,180,90
"C7","100n","C_0805_2012Metric",22.25,39.5,90,0
"C8","DNP","C_0805_2012Metric",8.5,47,180,90
"C9","DNP","C_0805_2012Metric",12.5,65.75,180,90
"C10","1u","C_0805_2012Metric",25.5,39.5,90,0
"C11","100n","C_0805_2012Metric",38,60.75,180,90
"C12","1u","C_0805_2012Metric",16.25,51,270,0
"C13","1u","C_0805_2012Metric",16.25,67.5,270,0
"C14","1u","C_0805_2012Metric",25.5,43.75,270,0
"C15","1u","C_0805_2012Metric",7,59.75,90,0
"C16","100n","C_0805_2012Metric",12.75,77,180,90
"C17","100n","C_0805_2012Metric",22.75,70.5,90,0
"C18","100n","C_0805_2012Metric",22.25,43.75,270,0
"C19","1u","C_0805_2012Metric",16.25,55.25,90,0
"C20","100n","C_0805_2012Metric",16.25,71.75,90,0
"C21","100n","C_0805_2012Metric",29.5,69,180,90
"D1","D","D_SOD-123",9.75,10.75,90,180
"D2","D","D_SOD-123",11.5,2.75,0,90
"D3","D","D_SOD-123",9,16,315,-45
"D4","D","D_SMC",19.25,16.5,270,0
"D5","D_Zener_ALT","D_SOD-123",27,26,270,0
"D6","D","D_SOD-123",24,26,90,180
"D7","D","D_SOD-123",11.5,6.25,0,90
"L1","1u","L_0805_2012Metric",12.75,46.5,0,90
"L2","1u","L_0805_2012Metric",16.25,63,90,0
"Q2","Q_NMOS_GSD","SOT-23",7.75,39,0,-90
"Q6","Q_NMOS_GSD","SOT-23",29.75,40.5,270,180
"Q7","Q_PMOS_GSD","SOT-23",12.5,50.5,90,0
"Q8","Q_PMOS_GSD","SOT-23",12.75,69.25,90,0
"Q9","Q_PMOS_GSD","SOT-23",12.5,55.25,90,0
"Q10","Q_NMOS_GSD","SOT-23",8.25,55.25,90,0
"Q11","Q_PMOS_GSD","SOT-23",12.75,73.5,90,0
"Q12","Q_NMOS_GSD","SOT-23",7.75,73.5,90,0
"R1","1k24","R_0805_2012Metric",12,35.75,180,90
"R2","DNP","R_0805_2012Metric",13.5,39,90,0
"R3","1k24","R_0805_2012Metric",8.5,33.75,270,0
"R4","1k24","R_0805_2012Metric",23.75,34.75,0,90
"R5","1k24","R_0805_2012Metric",13.5,25.5,270,0
"R6","7k32","R_0805_2012Metric",25.5,48,90,0
"R7","7k32","R_0805_2012Metric",7.75,43.25,0,90
"R8","100","R_0805_2012Metric",23.75,31.5,0,90
"R9","100","R_0805_2012Metric",19.75,31.5,0,90
"R10","7k32","R_0805_2012Metric",36,47.5,270,0
"R11","768","R_0805_2012Metric",31.75,31,0,90
"R12","100","R_0805_2012Metric",5,31,0,90
"R13","7k32","R_0805_2012Metric",31.75,37.5,0,90
"R14","DNP","R_0805_2012Metric",29.75,44.5,0,90
"R15","1k24","R_0805_2012Metric",31.75,34.25,180,90
"R16","71k5","R_0805_2012Metric",27.75,31.25,180,90
"R17","100","R_0805_2012Metric",15.75,29.25,315,
"R19","7k32","R_0805_2012Metric",27.75,34.75,180,90
"R20","1k24","R_0805_2012Metric",16.25,46.75,270,0
"R21","768","R_0805_2012Metric",16,43.25,0,90
"R22","1k24","R_0805_2012Metric",12.5,62.5,0,90
"R23","768","R_0805_2012Metric",7.75,63.5,0,90
"R24","100","R_0805_2012Metric",12,43.25,0,90
"R25","100","R_0805_2012Metric",7.75,66.5,180,90
"R26","1k24","R_0805_2012Metric",8.5,50.75,180,90
"R27","1k24","R_0805_2012Metric",7.75,69.5,180,90
"R32","1k24","R_0805_2012Metric",11.25,59.25,180,90
"R33","1k24","R_0805_2012Metric",7.75,77,180,90
"R34","7k32","R_0805_2012Metric",15.5,59.25,180,90
"R35","7k32","R_0805_2012Metric",16.25,76.25,270,0
"R36","10k","R_0805_2012Metric",36.25,69.25,270,0
"R37","10k","R_0805_2012Metric",33.75,60.75,180,90
"R38","10k","R_0805_2012Metric",33.5,69.25,270,0
"R39","10k","R_0805_2012Metric",30,60.25,90,0
"R40","10k","R_0805_2012Metric",26,67.75,90,0
"R41","100","R_0805_2012Metric",31.75,27.75,180,90
"R44","DNP","R_0805_2012Metric",16.25,25.5,90,0
"U1","BTS5030-1EJA","Infineon_PG-DSO-8-43",31.25,20.25,270,0
