NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,110.18,1-Y,201.60,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,75,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,ON,BeforeComponent,76,Head2,Drop,Station2,PickUp,Station3,
NozzleChange,OFF,BeforeComponent,1,Head2,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
R12,100R,CN065-0805,5.00,31.00,0.00,1,14,100,0.0,0.7,3,0
R17,100R,CN065-0805,15.75,29.25,-135.00,2,14,100,0.0,0.7,3,0
R24,100R,CN065-0805,12.00,43.25,0.00,1,14,100,0.0,0.7,3,0
R25,100R,CN065-0805,7.75,66.50,0.00,2,14,100,0.0,0.7,3,0
R41,100R,CN065-0805,31.75,27.75,0.00,1,14,100,0.0,0.7,3,0
R8,100R,CN065-0805,23.75,31.50,0.00,2,14,100,0.0,0.7,3,0
R9,100R,CN065-0805,19.75,31.50,0.00,1,14,100,0.0,0.7,3,0
R36,10k,CN065-0805,36.25,69.25,90.00,2,16,100,0.0,0.7,3,0
R37,10k,CN065-0805,33.75,60.75,0.00,1,16,100,0.0,0.7,3,0
R38,10k,CN065-0805,33.50,69.25,90.00,2,16,100,0.0,0.7,3,0
R39,10k,CN065-0805,30.00,60.25,90.00,1,16,100,0.0,0.7,3,0
R40,10k,CN065-0805,26.00,67.75,90.00,2,16,100,0.0,0.7,3,0
R1,1k24,CN065-0805,12.00,35.75,0.00,1,15,100,0.0,0.7,3,0
R15,1k24,CN065-0805,31.75,34.25,0.00,2,15,100,0.0,0.7,3,0
R20,1k24,CN065-0805,16.25,46.75,90.00,1,15,100,0.0,0.7,3,0
R22,1k24,CN065-0805,12.50,62.50,0.00,2,15,100,0.0,0.7,3,0
R26,1k24,CN065-0805,8.50,50.75,0.00,1,15,100,0.0,0.7,3,0
R27,1k24,CN065-0805,7.75,69.50,0.00,2,15,100,0.0,0.7,3,0
R3,1k24,CN065-0805,8.50,33.75,90.00,1,15,100,0.0,0.7,3,0
R32,1k24,CN065-0805,11.25,59.25,0.00,2,15,100,0.0,0.7,3,0
R33,1k24,CN065-0805,7.75,77.00,0.00,1,15,100,0.0,0.7,3,0
R4,1k24,CN065-0805,23.75,34.75,0.00,2,15,100,0.0,0.7,3,0
R5,1k24,CN065-0805,13.50,25.50,90.00,1,15,100,0.0,0.7,3,0
R16,71k5,CN065-0805,27.75,31.25,0.00,2,1,100,0.0,0.7,3,0
R11,768R,CN065-0805,31.75,31.00,0.00,1,4,100,0.0,0.7,3,0
R21,768R,CN065-0805,16.00,43.25,0.00,2,4,100,0.0,0.7,3,0
R23,768R,CN065-0805,7.75,63.50,0.00,1,4,100,0.0,0.7,3,0
R10,7k32,CN065-0805,36.00,47.50,90.00,2,10,100,0.0,0.7,3,0
R13,7k32,CN065-0805,31.75,37.50,0.00,1,10,100,0.0,0.7,3,0
R19,7k32,CN065-0805,27.75,34.75,0.00,2,10,100,0.0,0.7,3,0
R34,7k32,CN065-0805,15.50,59.25,0.00,1,10,100,0.0,0.7,3,0
R35,7k32,CN065-0805,16.25,76.25,90.00,2,10,100,0.0,0.7,3,0
R6,7k32,CN065-0805,25.50,48.00,90.00,1,10,100,0.0,0.7,3,0
R7,7k32,CN065-0805,7.75,43.25,0.00,2,10,100,0.0,0.7,3,0
L1,1uH,CN065-0805,12.75,46.50,0.00,1,50,100,0.0,0.8,3,0
L2,1uH,CN065-0805,16.25,63.00,90.00,2,50,100,0.0,0.8,3,0
C1,100n,CN065-0805,30.00,52.45,90.00,1,13,100,0.0,1.3,3,0
